Target Depth,Ionization by Ions,Ionization by Recoils
300000.E-01,4122.59E-05,6982.81E-12
600000.E-01,4145.75E-05,0000.00E+00
900000.E-01,4167.98E-05,4480.38E-12
120000.E+00,4167.14E-05,3407.91E-12
150000.E+00,4144.93E-05,1497.60E-12
180000.E+00,4141.18E-05,4469.11E-12
210000.E+00,4112.99E-05,1522.81E-10
240000.E+00,4083.99E-05,8959.14E-11
270000.E+00,4087.29E-05,2836.53E-09
300000.E+00,4041.82E-05,5773.57E-11
330000.E+00,4037.70E-05,3680.24E-11
360000.E+00,4037.06E-05,1669.09E-10
390000.E+00,4044.06E-05,3201.24E-11
420000.E+00,4057.55E-05,4966.28E-11
450000.E+00,4055.36E-05,8883.26E-11
480000.E+00,4085.36E-05,4437.42E-11
510000.E+00,4124.88E-05,2331.91E-11
540000.E+00,4121.17E-05,1132.51E-10
570000.E+00,4131.32E-05,2224.56E-11
600000.E+00,4138.00E-05,9228.55E-11
630000.E+00,4161.79E-05,4958.81E-10
660000.E+00,4150.75E-05,1306.05E-11
690000.E+00,4168.23E-05,5806.31E-11
720000.E+00,4181.19E-05,1882.86E-10
750000.E+00,4162.77E-05,6466.08E-11
780000.E+00,4146.65E-05,4148.71E-10
810000.E+00,4132.94E-05,1382.79E-10
840000.E+00,4113.64E-05,7038.73E-10
870000.E+00,4079.86E-05,4877.88E-10
900000.E+00,4103.70E-05,8119.40E-10
930000.E+00,4089.45E-05,6364.26E-11
960000.E+00,4137.14E-05,2408.17E-10
990000.E+00,4134.88E-05,8378.78E-11
102000.E+01,4107.62E-05,3382.45E-11
105000.E+01,4088.61E-05,8572.31E-11
108000.E+01,4054.41E-05,3170.34E-11
111000.E+01,4048.86E-05,1896.87E-10
114000.E+01,4070.37E-05,1920.65E-10
117000.E+01,4081.49E-05,6071.67E-10
120000.E+01,4089.63E-05,2506.69E-10
123000.E+01,4120.05E-05,4495.63E-11
126000.E+01,4182.31E-05,1428.66E-10
129000.E+01,4202.21E-05,5361.66E-11
132000.E+01,4229.73E-05,2941.79E-11
135000.E+01,4243.17E-05,3731.33E-11
138000.E+01,4187.99E-05,1450.27E-10
141000.E+01,4170.16E-05,5421.74E-11
144000.E+01,4169.60E-05,1318.90E-10
147000.E+01,4126.16E-05,6720.69E-11
150000.E+01,4105.31E-05,8293.40E-11
153000.E+01,4104.91E-05,5045.00E-11
156000.E+01,4077.33E-05,3289.15E-10
159000.E+01,4068.13E-05,8149.00E-11
162000.E+01,4055.61E-05,1237.06E-10
165000.E+01,4082.26E-05,3669.35E-10
168000.E+01,4065.52E-05,2298.32E-10
171000.E+01,4069.09E-05,1911.65E-10
174000.E+01,4088.70E-05,1249.35E-10
177000.E+01,4063.05E-05,5305.72E-11
180000.E+01,4069.71E-05,8502.55E-11
183000.E+01,4083.81E-05,8897.68E-11
186000.E+01,4124.17E-05,5384.47E-11
189000.E+01,4132.83E-05,3857.92E-11
192000.E+01,4169.96E-05,8138.29E-11
195000.E+01,4181.75E-05,9032.30E-11
198000.E+01,4195.55E-05,3125.96E-09
201000.E+01,4199.87E-05,3059.94E-11
204000.E+01,4200.53E-05,9237.31E-11
207000.E+01,4140.60E-05,1832.35E-10
210000.E+01,4196.92E-05,9627.16E-11
213000.E+01,4201.35E-05,1258.07E-10
216000.E+01,4235.79E-05,3866.58E-10
219000.E+01,4233.15E-05,2658.04E-10
222000.E+01,4275.33E-05,1652.92E-10
225000.E+01,4301.30E-05,1790.35E-10
228000.E+01,4274.28E-05,4987.98E-10
231000.E+01,4260.92E-05,3092.55E-09
234000.E+01,4277.47E-05,1073.39E-10
237000.E+01,4328.48E-05,1425.73E-10
240000.E+01,4351.71E-05,5571.91E-11
243000.E+01,4314.70E-05,7897.05E-11
246000.E+01,4283.48E-05,9715.06E-11
249000.E+01,4294.87E-05,4522.36E-10
252000.E+01,4279.22E-05,1055.44E-10
255000.E+01,4256.25E-05,1541.29E-09
258000.E+01,4228.43E-05,1697.68E-10
261000.E+01,4244.90E-05,2439.54E-10
264000.E+01,4225.98E-05,7064.25E-09
267000.E+01,4217.73E-05,1069.90E-10
270000.E+01,4283.54E-05,6056.71E-10
273000.E+01,4315.94E-05,1989.86E-10
276000.E+01,4279.94E-05,1607.95E-10
279000.E+01,4291.75E-05,2803.45E-10
282000.E+01,4216.71E-05,1190.92E-10
285000.E+01,4281.24E-05,1066.42E-09
288000.E+01,4325.32E-05,1795.08E-10
291000.E+01,4262.31E-05,1367.03E-10
294000.E+01,4229.48E-05,1332.04E-10
297000.E+01,4310.90E-05,1771.33E-10
300000.E+01,4156.84E-05,6378.60E-10
