time,signal
0,0
6.964433183718222e-13,0.001297661376279363
1.200780332869585e-12,0.002237324320816076
2.209454361865109e-12,0.004116688230858888
3.724087544092717e-12,0.006938842551308281
6.753353908547932e-12,0.01258346665946049
1.281188663745836e-11,0.02387410939191807
2.405088179333294e-11,0.04482440339014103
4.204467108715278e-11,0.07838057580079508
7.496174742274595e-11,0.1398076133852494
1.306853362868832e-10,0.2438776252485972
2.011360546175408e-10,0.3753905754296943
2.227451037772781e-10,0.4156214746297253
2.501326091410658e-10,0.4664287978546446
2.728238409893973e-10,0.5082689955576929
2.925894101560721e-10,0.5444218810237709
3.134775622920836e-10,0.5821907698524665
3.362656251852759e-10,0.6226568665504854
3.569176381868149e-10,0.6584102341410806
3.743747772002546e-10,0.6877063266106954
3.876767363069811e-10,0.7093137855741696
3.985545724189711e-10,0.7264248624064548
4.082601140207509e-10,0.7411933374401154
4.176788147673319e-10,0.7550113078909897
4.281759683361497e-10,0.769738067331441
4.406502547350702e-10,0.7862061750900629
4.528321239605124e-10,0.8011050401935792
4.634146504301283e-10,0.8130291629616658
4.74359956634181e-10,0.8242961131803814
4.848677535904702e-10,0.8340380400263135
4.946502539371023e-10,0.84211953768374
5.042055580184119e-10,0.8490575975622571
5.138561440494598e-10,0.8550729371265456
5.239921755140118e-10,0.8602839784873845
5.350975393557913e-10,0.8646543784253612
5.479031520925608e-10,0.8679117492703432
5.627278852699517e-10,0.8692505209743031
5.773392685467737e-10,0.8679845235303297
5.917051269331473e-10,0.8642238160178403
6.059810740805808e-10,0.8580137642442432
6.202293427105993e-10,0.8493590867364182
6.346159068398429e-10,0.8381270685710001
6.481420004164279e-10,0.8252724610462361
6.607621521023937e-10,0.811266561742825
6.734151593265229e-10,0.7952709563281334
6.869416685966864e-10,0.7760040492924778
7.037777811935391e-10,0.7488509666624757
7.109241208057894e-10,0.7362660599052089
7.184642425826455e-10,0.7222318633218351
7.251975664401206e-10,0.708964898078366
7.30840626896643e-10,0.6972797063982665
7.362224015914258e-10,0.6856276388510391
7.423401629041868e-10,0.6717230568617545
7.545756855297088e-10,0.6415872023339174
7.63477367066542e-10,0.6176310998605472
7.710939364288709e-10,0.5958120539605546
7.801208807573585e-10,0.5685447712207473
7.908164255275463e-10,0.5346355750600277
8.02311728232473e-10,0.4968681032080741
8.143511397939786e-10,0.4566867031292361
8.269465647954408e-10,0.4149866088006927
8.402005272728315e-10,0.3726053455413064
8.544452744653744e-10,0.3299229968575822
8.703225493569212e-10,0.2869344094165041
8.8857334248351e-10,0.2442910174708325
9.08725231014493e-10,0.2057019974365044
9.264547668415449e-10,0.1785961325782097
9.419359798072521e-10,0.1595438726708934
9.571165925935822e-10,0.1444128685054661
9.728804641937789e-10,0.1318005342476877
9.864402320968894e-10,0.1230819024107286
9.932201160484446e-10,0.1193775165691588
1e-09,0.1160429476802904
1.001811231564421e-09,0.111731193585896
1.003682828496432e-09,0.10739809575346
1.005833643386197e-09,0.1026174840936716
1.009189040830652e-09,0.09559613497600165
1.015899835719562e-09,0.08303193707775296
1.029321425497383e-09,0.06283974932436875
1.043089649713864e-09,0.0475826066226342
1.057191328506914e-09,0.03625211874878753
1.072312942385229e-09,0.02756762290151743
1.088628888012651e-09,0.02099883288492442
1.104509232628421e-09,0.01655112284896362
1.119485015535385e-09,0.01359132512434027
1.134364637081891e-09,0.01148876897410583
1.149784980551543e-09,0.009930819595287127
1.1664523136904e-09,0.008734008053614288
1.185185527612318e-09,0.007784863586304954
1.20685994021934e-09,0.007013061561417948
1.232455056552309e-09,0.006368619880947409
1.26317435967682e-09,0.005807655585435141
1.300709605703544e-09,0.005283260521590425
1.347627491002817e-09,0.004741167698733475
1.407608120719982e-09,0.004123808696810202
1.474718054887383e-09,0.003485941585390677
1.550113386384825e-09,0.002833405119244927
1.627325133902441e-09,0.002248935549194692
1.706573471706816e-09,0.001745685339347582
1.789383981420731e-09,0.001321565233107822
1.876927483060372e-09,0.0009732518308622222
1.970748809152463e-09,0.00069384463987817
2e-09,0.0006248289343598185
2.00003503840503e-09,0.0006309449941196254
2.00006008442766e-09,0.0006356250302664638
2.00011017647292e-09,0.0006450488226704494
2.000145651811349e-09,0.0006517299869668979
2.000206508729859e-09,0.0006632777237261995
2.000328222566879e-09,0.0006865445057430474
2.000571650240919e-09,0.0007327065383797669
2.001058505589e-09,0.0008233834413600794
2.002032216285161e-09,0.0009976480435717782
2.003979637677483e-09,0.001325983005559069
2.006979827018176e-09,0.001780261249043299
2.01028421116256e-09,0.002201109980147353
2.013511654001464e-09,0.00249463477770335
2.01622003094354e-09,0.002617646784511327
2.018520171084486e-09,0.002622488863943988
