Point,Corner,VINCM,temperature,c018hv32v.scs,c018hv32v.scs:1,c018hv32v.scs:2,c018hv32v.scs:3,c018hv32v.scs:4,c018hv32v.scs:5,c018hv32v.scs:6,c018hv32v.scs:7,c018hv32v.scs:8,c018hv32v.scs:9,c018hv32v.scs:10,c018hv32v.scs:11,c018hv32v.scs:12,c018hv32v.scs:13,Pass/Fail,ac_mag,ac_phase,acVal_Av,acVal_f3dB,acVal_Av0,acVal_Av1,acVal_Av2,dcVal_voutCM0,dcVal_voutCM1,dcVal_voutCM2,dcVal_voutCM3,dcVal_voutCM4,dcVal_voutCM
2,ff_HiT,600e-3,125,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,fail,,,78.61,32.22e6,2.08,2.064,2.069,511.3e-3,528.6e-3,526.3e-3,526.6e-3,526.6e-3,526.6e-3
3,fs_MidT,700e-3,27,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,fail,,,84.12,28.81e6,1.939,2.138,2.097,366.4e-3,568.4e-3,479.2e-3,533.8e-3,503.1e-3,521.5e-3
4,tt_HiT,800e-3,125,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,fail,,,84.45,26.94e6,1.949,2.099,2.12,377.9e-3,621.4e-3,529.6e-3,582.5e-3,554.7e-3,570.3e-3
3,ss_HiT,700e-3,125,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,fail,,,89.15,23.07e6,2.022,2.164,2.075,442.6e-3,654.1e-3,487.7e-3,626.4e-3,513.8e-3,608.1e-3
2,fs_MidT,600e-3,27,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,near,,,90.67,28.82e6,2.07,2.144,2.113,454.9e-3,544.4e-3,496.1e-3,525.3e-3,508.5e-3,518.4e-3
3,tt_HiT,700e-3,125,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,near,,,91.29,26.94e6,2.07,2.13,2.126,468.8e-3,604.5e-3,541e-3,577.2e-3,557.9e-3,568.6e-3
1,fs_MidT,500e-3,27,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,near,,,93.16,28.85e6,2.134,2.125,2.131,523.2e-3,509.8e-3,517.7e-3,513.1e-3,515.8e-3,514.2e-3
2,tt_HiT,600e-3,125,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,near,,,94.51,26.96e6,2.128,2.137,2.134,543.9e-3,575.8e-3,558.7e-3,568.2e-3,563e-3,565.9e-3
1,tt_HiT,500e-3,125,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,near,,,94.57,26.99e6,2.135,2.129,2.137,594.5e-3,547.4e-3,574e-3,559.7e-3,567.6e-3,563.3e-3
1,ss_HiT,500e-3,125,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,near,,,95.43,23.08e6,2.163,2.107,2.158,618e-3,521.6e-3,602.4e-3,535.7e-3,591.6e-3,545.3e-3
2,ss_HiT,600e-3,125,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,near,,,95.55,23.05e6,2.121,2.153,2.127,537.8e-3,589.9e-3,546.7e-3,582.9e-3,552.8e-3,578e-3
5,ss_MidT,900e-3,27,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,105.9,21.72e6,1.623,2.379,2.066,196.6e-3,779.5e-3,340e-3,753.2e-3,372.4e-3,740.8e-3
5,ss_LoT,900e-3,-55,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,130.2,20.41e6,1.667,2.748,1.882,154.6e-3,867.7e-3,196.3e-3,863.7e-3,201.7e-3,863.1e-3
4,ss_MidT,800e-3,27,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,141.5,21.66e6,2.004,2.469,2.119,314.8e-3,760.6e-3,363.3e-3,744.7e-3,383e-3,735.9e-3
5,fs_LoT,900e-3,-55,dio,dio_5,ff_bip_npn,fs_hvs_lg,fs_hvs,fs_5,ff_res,fs,ff_mim,ff_bip,fs_hva,fs_hvi_lg,fs_hvi,fs_hva_lg,pass,,,145.1,26.59e6,1.472,2.478,2.397,137.7e-3,649.7e-3,432.7e-3,610.4e-3,475.8e-3,589.5e-3
5,ff_MidT,900e-3,27,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,150.9,29.92e6,1.992,2.299,2.396,294e-3,588e-3,551.9e-3,563e-3,560e-3,560.8e-3
